contributor,total,to_dems,to_repubs,to_liberal_groups,to_conservative_groups,to_nonpartisan_groups,lean,industry
Ridgeline Inc,2023200,0,23200,0,2000000,0,Leans Conservative,Misc Finance
Kaitar Resources,1123900,7400,16500,0,1100000,0,Leans Conservative,Misc Finance
Muus & Co,1029900,697500,3300,329000,0,0,Leans Democrat,Misc Finance
Nirvana Technology,789100,289100,0,500000,0,0,Leans Liberal,Misc Finance
Analysis Group,677621,592458,3320,150192,0,0,Leans Democrat,Misc Finance
Veterans Guardian VA Claim Consulting,645034,1000,644034,0,0,0,Leans Republican,Misc Finance
Capital Funding Group,573300,72400,400900,0,100000,0,Leans Republican,Misc Finance
Bloomberg Lp,523689,123550,13579,183684,200000,0,Leans Conservative,Misc Finance
Level Four Business Management,338250,0,138250,100000,100000,0,Leans Republican,Misc Finance
Tiger 21,337006,36956,50,300000,0,0,Leans Liberal,Misc Finance
Thrivent Financial,330316,171811,153714,1550,1000,0,Leans Democrat,Misc Finance
H&R Block,316533,160882,152236,1740,0,0,Leans Democrat,Misc Finance
National Debt Relief,300633,248,300385,0,0,0,Leans Republican,Misc Finance
Experian,292722,121221,169732,1175,0,0,Leans Republican,Misc Finance
Lifeyield,270950,264350,0,0,0,0,Leans Democrat,Misc Finance
Block Inc,267186,209346,4945,52700,0,0,Leans Democrat,Misc Finance
Geller & Co,259010,27010,9800,0,0,218000,On the fence,Misc Finance
Kaufman Hall,237648,201920,400,35000,0,0,Leans Democrat,Misc Finance
Ryan LLC,215135,12280,135555,0,0,0,Leans Republican,Misc Finance
Fti Consulting,200629,107963,91613,150,0,0,Leans Democrat,Misc Finance
National Beer Wholesalers Assn,973000,477000,491000,0,0,0,Leans Republican,"Wine, Beer & Liquor"
Silver Eagle Beverages,854668,111,124557,0,730000,0,Leans Conservative,"Wine, Beer & Liquor"
Silver Eagle Distributors,689496,0,689496,0,0,0,Leans Republican,"Wine, Beer & Liquor"
Wine & Spirits Wholesalers of America,525694,223747,299447,0,0,0,Leans Republican,"Wine, Beer & Liquor"
Southern Glazer's Wine & Spirits,498799,268985,124157,5150,100000,0,Leans Democrat,"Wine, Beer & Liquor"
Total Wine & More,480436,476167,3399,195,0,0,Leans Democrat,"Wine, Beer & Liquor"
Brown-Forman Corp,444915,306204,136086,0,0,0,Leans Democrat,"Wine, Beer & Liquor"
Mira Winery,308496,0,58496,0,250000,0,Leans Conservative,"Wine, Beer & Liquor"
United Distributors,282575,14350,18225,0,100000,150000,On the fence,"Wine, Beer & Liquor"
Puma Springs Vineyards,271607,269607,0,2000,0,0,Leans Democrat,"Wine, Beer & Liquor"
Sunbelt Beverage,250000,0,0,250000,0,0,Leans Liberal,"Wine, Beer & Liquor"
Constellation Brands,248944,110123,123821,0,0,0,Leans Republican,"Wine, Beer & Liquor"
Breakthru Beverage Group,221253,120649,27551,0,0,55000,Leans Democrat,"Wine, Beer & Liquor"
Anheuser-Busch,208771,93879,113215,1650,0,0,Leans Republican,"Wine, Beer & Liquor"
Wine Institute,134869,85675,49194,28600,0,0,Leans Democrat,"Wine, Beer & Liquor"
Cavalier Distributing,133000,0,33000,0,100000,0,Leans Conservative,"Wine, Beer & Liquor"
Republic National Distributing,126630,18973,107496,0,0,0,Leans Republican,"Wine, Beer & Liquor"
Jackson Family Wines,124976,14332,110644,0,0,0,Leans Republican,"Wine, Beer & Liquor"
Jackson Family Enterprises,112250,45948,65302,1000,0,0,Leans Republican,"Wine, Beer & Liquor"
Magnolia Marketing,100400,19100,74700,0,0,0,Leans Republican,"Wine, Beer & Liquor"
ADVANCED NUTRIENTS,79900,54900,0,36000,0,25000,Leans Democrat,Marijuana
Cresco Labs,69731,32248,28869,12,0,0,Leans Democrat,Marijuana
US Cannabis Council,33861,0,0,0,0,33861,On the fence,Marijuana
Canopy Growth USA,32500,7500,25000,0,0,0,Leans Republican,Marijuana
Verano Holdings,19350,9350,5000,0,0,0,Leans Democrat,Marijuana
Cc Procurement Llc,10000,10000,0,10000,0,0,Leans Liberal,Marijuana
Cronos USA,10000,3000,7000,0,0,0,Leans Republican,Marijuana
Hometown Hero,8300,0,8300,0,0,0,Leans Republican,Marijuana
COLUMBIA CARE,5945,2538,3407,0,0,0,Leans Republican,Marijuana
Dutchie Inc,5871,3214,2630,0,0,0,Leans Democrat,Marijuana
Delta Defense LLC,879295,25,28346,0,850769,0,Leans Conservative,Gun Rights
National Shooting Sports Foundation,462398,5250,364874,0,92274,0,Leans Republican,Gun Rights
National Rifle Assn,280829,100,280729,0,0,0,Leans Republican,Gun Rights
