name,genre,human,serious,bold,awkward,cooperative,relaxed,fortunate,cautious,respectful,lazy,humble,loud,insecure,introvert,anxious,altruistic,pessimistic,practical
Woody,cartoon,yes,61.2,76.9,34.2,43.1,27.6,63.7,62.1,73.5,15,50.9,69.3,43.9,22,71.2,62.3,38.9,64.3
Buzz Lightyear,cartoon,yes,71.1,89.7,27.9,34.5,29.4,70.6,38.7,65.2,11.2,28.3,83.2,16.6,16.7,49.6,61.1,25.8,47.5
Mr. Potato Head,cartoon,no,74.5,81.1,54.4,32.4,18.2,34.1,63,31.9,55.7,24.9,81.3,39.7,40.6,75.3,32.1,85.5,78.2
Rick Sanchez,cartoon,yes,47.5,95.9,45.5,10,47.6,61.2,22.7,12.2,52.5,10.9,87.2,27.8,35.4,50.5,16.6,84.7,52.4
Morty Smith,cartoon,yes,43.8,26.8,90.6,79,12.2,30,65.1,66.9,49.8,67.6,46.9,88.7,74.9,89.2,63.7,56.6,41.2
Robin Hood,cartoon,yes,16.2,93.1,8.7,28,87.4,84.2,22.3,58.1,25.1,44.1,70.8,5.8,10.7,20.7,85,11.6,31.1
Romeo Montague,movie,yes,40.8,80.7,25.2,24.6,41.3,24.3,10.5,47.6,43.3,28.9,67.7,35.1,27.9,72.5,33.5,39.6,19.1
Juliet Capulet,movie,yes,43.4,60.3,32.6,52.4,31.8,26.8,16.1,61.9,39.3,49.7,40.3,58.3,53,73.4,37.2,39.7,19.9
Dexter,tvshow,yes,85.8,56,53.2,34.9,23.9,68.4,79.7,73.3,4.4,32.5,11.7,24,87.6,32.8,45,64.6,71.7
Dr. House,tvshow,yes,40.7,94.6,37,9.7,36.9,48.1,11.5,13.9,46.1,8.8,76.4,22.9,64.2,49.4,20.1,87.2,46.4
Jay Gatsby,movie,yes,40.1,77.2,16.3,18.5,37.4,46.4,25.1,65.5,19.2,34.7,55.2,53.2,38.7,66.6,41,22.4,15.5
Bella Swan,movie,yes,84.7,36.4,84.2,56.3,14.3,47.1,26.7,55.2,40.1,62.8,11.3,79.8,89.2,83.2,42.6,72.5,47.7
Edward Cullen,movie,yes,84,49.7,48.5,28.5,12.6,58,58.6,70.3,19.2,47.6,14,44.2,87,58.6,54.6,76.2,71.9
